=== ALL 191 nex.* TABLES · row counts + sizes ===
+-------------------------------------------+----------------------+-------------------+-------------+------------+------------+------------+---------------+--------------+-------------+------------+
|                table_name                 | row_estimate_pg_stat | row_estimate_stat | total_bytes | total_size | heap_bytes | heap_size  | indexes_bytes | indexes_size | toast_bytes | toast_size |
| deprecations                              |                   -1 |                 0 |       24576 | 24 kB      |          0 | 0 bytes    |         16384 | 16 kB        |        8192 | 8192 bytes |
| worker_schedule                           |                   -1 |                 0 |       24576 | 24 kB      |          0 | 0 bytes    |         16384 | 16 kB        |        8192 | 8192 bytes |
| rollup_segment                            |                    1 |                 0 |       24576 | 24 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |           0 | 0 bytes    |
| rollup_campaigns                          |                    5 |                 0 |       24576 | 24 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |           0 | 0 bytes    |
| knowledge_inbox_stats                     |                   -1 |                 0 |       24576 | 24 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |           0 | 0 bytes    |
| category_image_library                    |                   -1 |                 0 |       24576 | 24 kB      |          0 | 0 bytes    |         16384 | 16 kB        |        8192 | 8192 bytes |
+-------------------------------------------+----------------------+-------------------+-------------+------------+------------+------------+---------------+--------------+-------------+------------+
(191 rows)


=== AUTHORITATIVE row counts (SELECT COUNT — this may take a few seconds) ===
+------------------------+-------------+
|        relname         | placeholder |
+------------------------+-------------+
| accommodation_business |           0 |
+------------------------+-------------+
(1 row)

