=== ALL 191 nex.* TABLES · row counts + sizes ===
+-------------------------------------------+----------------------+-------------------+-------------+------------+------------+------------+---------------+--------------+-------------+------------+
|                table_name                 | row_estimate_pg_stat | row_estimate_stat | total_bytes | total_size | heap_bytes | heap_size  | indexes_bytes | indexes_size | toast_bytes | toast_size |
| analytics_events                          |                  459 |                 0 |      352256 | 344 kB     |     122880 | 120 kB     |        196608 | 192 kB       |        8192 | 8192 bytes |
| delivery_job_attempts                     |                  587 |                 0 |      319488 | 312 kB     |     188416 | 184 kB     |         98304 | 96 kB        |        8192 | 8192 bytes |
| social_accounts                           |                  303 |                 0 |      311296 | 304 kB     |     131072 | 128 kB     |        139264 | 136 kB       |        8192 | 8192 bytes |
| food_business_promotion_audit             |                  752 |                 0 |      278528 | 272 kB     |     114688 | 112 kB     |        131072 | 128 kB       |        8192 | 8192 bytes |
| mp_category                               |                  310 |                 0 |      278528 | 272 kB     |      73728 | 72 kB      |        172032 | 168 kB       |        8192 | 8192 bytes |
| social_oauth_states                       |                  312 |                 0 |      245760 | 240 kB     |      90112 | 88 kB      |        114688 | 112 kB       |        8192 | 8192 bytes |
| experiment_assignments                    |                  501 |                 0 |      245760 | 240 kB     |      57344 | 56 kB      |        155648 | 152 kB       |        8192 | 8192 bytes |
| llm_retry_queue                           |                   36 |                 0 |      229376 | 224 kB     |     122880 | 120 kB     |         65536 | 64 kB        |        8192 | 8192 bytes |
| transport_acquisition_record              |                  107 |                 0 |      221184 | 216 kB     |      49152 | 48 kB      |        139264 | 136 kB       |        8192 | 8192 bytes |
| contacts                                  |                   51 |                 0 |      212992 | 208 kB     |      24576 | 24 kB      |        155648 | 152 kB       |        8192 | 8192 bytes |
| journey_states                            |                  165 |                 0 |      212992 | 208 kB     |      90112 | 88 kB      |         81920 | 80 kB        |        8192 | 8192 bytes |
| campaign_recipients                       |                  213 |                 0 |      204800 | 200 kB     |      90112 | 88 kB      |         73728 | 72 kB        |        8192 | 8192 bytes |
| category_candidate                        |                    4 |                 0 |      188416 | 184 kB     |      73728 | 72 kB      |         81920 | 80 kB        |        8192 | 8192 bytes |
| social_brand_profiles                     |                  607 |                 0 |      180224 | 176 kB     |      90112 | 88 kB      |         57344 | 56 kB        |        8192 | 8192 bytes |
| brain_did_you_know_indonesia              |                   28 |                 0 |      172032 | 168 kB     |      40960 | 40 kB      |         98304 | 96 kB        |        8192 | 8192 bytes |
| wallet_transaction                        |                  148 |                 0 |      172032 | 168 kB     |      32768 | 32 kB      |        106496 | 104 kB       |        8192 | 8192 bytes |
| knowledge_feedback                        |                    0 |                 0 |      163840 | 160 kB     |       8192 | 8192 bytes |        131072 | 128 kB       |        8192 | 8192 bytes |
| media_object                              |                   16 |                16 |      163840 | 160 kB     |       8192 | 8192 bytes |        114688 | 112 kB       |        8192 | 8192 bytes |
| conv_entities                             |                   70 |                70 |      147456 | 144 kB     |      16384 | 16 kB      |         98304 | 96 kB        |        8192 | 8192 bytes |
| safety_audit_event                        |                   -1 |                 0 |      147456 | 144 kB     |      16384 | 16 kB      |         98304 | 96 kB        |        8192 | 8192 bytes |
| provider_wallet_transaction               |                    7 |                 7 |      147456 | 144 kB     |       8192 | 8192 bytes |         98304 | 96 kB        |        8192 | 8192 bytes |
| worker_jobs                               |                    0 |                 0 |      131072 | 128 kB     |       8192 | 8192 bytes |         98304 | 96 kB        |        8192 | 8192 bytes |
| knowledge_dump_jobs                       |                   71 |                 0 |      131072 | 128 kB     |      24576 | 24 kB      |         65536 | 64 kB        |        8192 | 8192 bytes |
| service_request                           |                    4 |                 4 |      131072 | 128 kB     |       8192 | 8192 bytes |         81920 | 80 kB        |        8192 | 8192 bytes |
| social_scheduled_posts                    |                  110 |                 0 |      131072 | 128 kB     |      24576 | 24 kB      |         65536 | 64 kB        |        8192 | 8192 bytes |
| predictions                               |                   -1 |                 0 |      131072 | 128 kB     |      16384 | 16 kB      |         81920 | 80 kB        |        8192 | 8192 bytes |
| provider_profile                          |                    7 |                 7 |      131072 | 128 kB     |       8192 | 8192 bytes |         81920 | 80 kB        |        8192 | 8192 bytes |
| attributions                              |                   -1 |                 0 |      131072 | 128 kB     |       8192 | 8192 bytes |        114688 | 112 kB       |        8192 | 8192 bytes |
| knowledge_records                         |                    0 |                 0 |      131072 | 128 kB     |       8192 | 8192 bytes |         98304 | 96 kB        |        8192 | 8192 bytes |
| service_request_offer                     |                   20 |                20 |      131072 | 128 kB     |       8192 | 8192 bytes |         81920 | 80 kB        |        8192 | 8192 bytes |
| journey_campaign_executions               |                   54 |                 0 |      122880 | 120 kB     |      16384 | 16 kB      |         65536 | 64 kB        |        8192 | 8192 bytes |
| brain_english_vocabulary                  |                   -1 |                 0 |      122880 | 120 kB     |      16384 | 16 kB      |         73728 | 72 kB        |        8192 | 8192 bytes |
| video_feed_impression                     |                  111 |                 0 |      122880 | 120 kB     |      24576 | 24 kB      |         65536 | 64 kB        |        8192 | 8192 bytes |
| object_manifest                           |                   -1 |                 0 |      114688 | 112 kB     |       8192 | 8192 bytes |         98304 | 96 kB        |        8192 | 8192 bytes |
| social_publish_intents                    |                    8 |                 0 |      114688 | 112 kB     |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| bike_model                                |                   -1 |                 0 |      114688 | 112 kB     |      16384 | 16 kB      |         65536 | 64 kB        |        8192 | 8192 bytes |
| campaigns                                 |                   13 |                 0 |      114688 | 112 kB     |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| category_registry                         |                   -1 |                 0 |      106496 | 104 kB     |       8192 | 8192 bytes |         90112 | 88 kB        |        8192 | 8192 bytes |
| worker_results                            |                    0 |                 0 |       98304 | 96 kB      |       8192 | 8192 bytes |         81920 | 80 kB        |        8192 | 8192 bytes |
| call_record                               |                   -1 |                 0 |       98304 | 96 kB      |       8192 | 8192 bytes |         81920 | 80 kB        |        8192 | 8192 bytes |
| food_business_promotion_decision          |                   -1 |                 0 |       98304 | 96 kB      |       8192 | 8192 bytes |         81920 | 80 kB        |        8192 | 8192 bytes |
| chat_message                              |                   32 |                 0 |       98304 | 96 kB      |      16384 | 16 kB      |         49152 | 48 kB        |        8192 | 8192 bytes |
| recovery_runs                             |                   -1 |                 0 |       98304 | 96 kB      |       8192 | 8192 bytes |         32768 | 32 kB        |       57344 | 56 kB      |
| conversion_events                         |                   -1 |                 0 |       90112 | 88 kB      |       8192 | 8192 bytes |         73728 | 72 kB        |        8192 | 8192 bytes |
| provider_topup_intent                     |                    0 |                 0 |       90112 | 88 kB      |          0 | 0 bytes    |         65536 | 64 kB        |        8192 | 8192 bytes |
| alerts                                    |                   -1 |                 0 |       90112 | 88 kB      |       8192 | 8192 bytes |         73728 | 72 kB        |        8192 | 8192 bytes |
| events                                    |                   -1 |                 0 |       90112 | 88 kB      |       8192 | 8192 bytes |         73728 | 72 kB        |        8192 | 8192 bytes |
| journey_triggers                          |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| prediction_models                         |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| compliance_events                         |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| journey_inbound_events                    |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| bike_rental_listing                       |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| journeys                                  |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| experiments                               |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| social_admin_access_log                   |                   47 |                 0 |       81920 | 80 kB      |      16384 | 16 kB      |         32768 | 32 kB        |        8192 | 8192 bytes |
| mp_product                                |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| business_calling_config                   |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| email_templates                           |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| mp_product_variant                        |                   -1 |                 0 |       81920 | 80 kB      |       8192 | 8192 bytes |         65536 | 64 kB        |        8192 | 8192 bytes |
| food_outreach_suppression                 |                   -1 |                 0 |       73728 | 72 kB      |       8192 | 8192 bytes |         57344 | 56 kB        |        8192 | 8192 bytes |
| confidence_scores                         |                    0 |                 0 |       73728 | 72 kB      |       8192 | 8192 bytes |         57344 | 56 kB        |        8192 | 8192 bytes |
| worker_heartbeats_archive_2026_08_22      |                   -1 |                 0 |       73728 | 72 kB      |      24576 | 24 kB      |         16384 | 16 kB        |        8192 | 8192 bytes |
| provider_registry                         |                   -1 |                 0 |       73728 | 72 kB      |       8192 | 8192 bytes |         57344 | 56 kB        |        8192 | 8192 bytes |
| brain_user_saved_facts                    |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| food_commercial_event                     |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| audit_log                                 |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| meaningful_area                           |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| food_claim_code                           |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| chat_message_archive                      |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| social_controls                           |                    1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| chat_message_deletion                     |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| food_outreach_attempt                     |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| rollup_country                            |                   10 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| rollup_provider                           |                    3 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| contact_segments                          |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| analytics_rollup_queue                    |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| alert_dispatches                          |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| mp_product_option_value                   |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| category_candidate_calibration_annotation |                   -1 |                 0 |       65536 | 64 kB      |       8192 | 8192 bytes |         49152 | 48 kB        |        8192 | 8192 bytes |
| rollup_daily                              |                    1 |                 0 |       57344 | 56 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |           0 | 0 bytes    |
| jobs                                      |                   -1 |                 0 |       57344 | 56 kB      |          0 | 0 bytes    |         49152 | 48 kB        |        8192 | 8192 bytes |
| rollup_monthly                            |                    1 |                 0 |       57344 | 56 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |           0 | 0 bytes    |
| provider_wallet                           |                    7 |                 7 |       57344 | 56 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |           0 | 0 bytes    |
| conv_intents                              |                   22 |                22 |       57344 | 56 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| tracking_events                           |                   -1 |                 0 |       57344 | 56 kB      |          0 | 0 bytes    |         49152 | 48 kB        |        8192 | 8192 bytes |
| contact_sources                           |                   -1 |                 0 |       57344 | 56 kB      |          0 | 0 bytes    |         49152 | 48 kB        |        8192 | 8192 bytes |
| kpe_documents                             |                   -1 |                 0 |       57344 | 56 kB      |          0 | 0 bytes    |         49152 | 48 kB        |        8192 | 8192 bytes |
| graph_edges                               |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
